COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
329,382105005,DOM CHUNK LIGHT TUNA,6 OZ,48,504021
329,1115204121,MACK IN TOMATO SCE,15 OZ,12,50060
329,1119449692,$S & W WHOLE BABY CL,10.25O,12,512560
329,1119449696,$S & W WHOLE BABY CL,10.25O,12,512560
329,1119449890,S&W WHOLE OYSTERS,8 OZ,24,512500
329,1119450088,S&W FANCY RED SOCKEY,7.5 OZ,24,50105
329,1780000001,C O S CHNK LGHT TUNA,3.25OZ,24,502041
329,1780000005,~COS SOLID WH. TUNA,3.25OZ,24,502491
329,1780000009,C O S SOLID WHITE -,6 OZ,24,502501
329,1780000012,COS CHUNK LIGHT OIL,6 OZ,24,502001
329,1780000024,C O S CHUNK LIGHT TU,6 OZ,48,502051
329,1780000081,C O S L/S CHUNK LIGH,6.5 OZ,24,502081
329,1780000083,C O S LITE TUNA - WA,6.5 OZ,24,502151
329,1780000086,C O S PINK SALMON BO,6 OZ,24,502341
329,1780000466,C O S CHUNK LIGHT OI,12.5 O,24,502401
329,1780001164,C O S CHUNK LIGHT WA,12.5 O,24,502651
329,1780001504,C O S CHUNK LIGHT TU,9.25 O,24,502321
329,1860023015,ROMANOFF RED LUMPFSH,2 OZ,6,9800771
329,1860023016,$ROMANOFF CAVIER RED,3.5 OZ,6,511700
329,1860023035,ROMANOFF BLK WHTFSH,2 OZ,12,9800731
329,1860023054,ROM.RED SALMON CAVIA,2 OZ,6,9800710
329,1860053019,ROMANOF GLDN LUMPFIS,2 OZ,6,9800740
329,2010000006,BEACH CLIFF SARDINES,3.7 OZ,24,506481
329,2010000007,BEACH CLIFF SARDINE,3.7 OZ,24,506501
329,2010000021,BEACHCLIFF OIL FISH,3.75 O,24,506405
329,2800000271,$C & B IMPORTED CAPE,3.5 OZ,6,511400
329,3084700200,MARINA FISH PATE SMK,3.5 OZ,6,500320
329,3084700202,$MARINA FISH PATE LO,3.5 OZ,6,500310
329,3084700203,MARINA FISH PATE SHR,3.5 OZ,6,500300
329,3480000197,KING OSCAR SARDINES,3.75 O,30,9806001
329,3480000200,KING OSCAR 2 LAYER S,3.75 O,24,506001
329,3480000201,KNG OSCR BRSTL X-PAK,3.75 O,12,507111
329,3480000215,king oscar brsl sar,1.5 OZ,18,507141
329,3480000400,KING OSCAR KIPPER SN,3.25OZ,18,507101
329,3480000612,KING OSCAR SARDINES,3.75 O,12,507121
329,3480000622,KING OSCAR SARDINES,3.75 O,12,507131
329,3480000632,KING OSCAR SARDINES,3.75 O,12,507151
329,3480005020,KING OSCAR NORWEIGEN,13.5 O,12,511750
329,3810000619,~COS DIET TUNA,6.5 OZ,12,503361
329,3810000661,C.O.S. KETA SALMON,6.5 OZ,24,502701
329,3828105001,HH CHUNK LITE TUNA/O,6.5 OZ,48,504001
329,3828105003,HH CHUNK LITE TUNA/O,6.5 OZ,48,504001
329,3828105005,HH CHUNK LIGHT TUNA/,6.5 OZ,48,504021
329,3828105019,DOM SOLID WHITE TUNA,6 OZ,24,504081
329,3828105025,HH CHUNK LITE TUNA W,12.5 O,24,504141
329,3828105029,DOM RED SOCKEYE SALM,14.75O,12,506071
329,3828105033,DOM PINK SALMON,14.75O,24,506031
329,3828105037,DOM PINK SALMON,7.5 OZ,24,506051
329,3828105041,DOM RED SALMON,7.5 OZ,24,506091
329,3894606003,UGMA SNAILS W/SHELLS,7 OZ,6,502020
329,3900000271,$C & B IMPORTED CAPE,3.5 OZ,6,511400
329,4117533988,P.S. WHITE ALBACORE,6.13 O,24,504111
329,4117533990,P.S. CHUNK LT TONGOL,6 OZ,48,504091
329,4117533998,P.S. WHITE ALBACORE,12.5 O,24,504121
329,4125875124,WYLER'S BEEF BOUILLO,50 CT,12,1510211
329,4125875125,WYLERS CHKN BOUILLON,50 CT,12,1510221
329,4140000093,KING OSCAR FLAT ANCH,2 OZ,25,520200
329,4140000095,KING OSCAR ROLLED AN,2 OZ,25,520210
329,4140201301,SALTESEA MINCED CLAM,6.5 OZ,24,500201
329,4144670012,ORLEANS DOMESTIC SMA,4.25 O,12,508901
329,4144670017,ORLEANS TINY IMPORTE,4.25 O,12,503021
329,4144670020,ORLEANS DEVEINED/BRO,4.25 O,12,509501
329,4144670022,ORLEANS DEVEIN SMALL,4.25 O,12,509601
329,4144670023,ORLEANS DOM MED DEVE,4.25 O,12,509001
